City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
323,kodinsk,56,RU,1516867524,78,58.6,99.18,-17.8,2.62
324,roma,0,IT,1516864800,93,41.89,12.48,41.0,3.36
325,lasa,75,CY,1516867200,93,34.92,32.53,53.6,9.17
326,barcelos,75,PT,1516865400,100,41.53,-8.62,51.8,3.36
327,nguru,48,NG,1516867692,36,12.88,10.45,69.73,12.12
328,port macquarie,24,AU,1516863600,74,-31.43,152.91,78.8,16.11
329,umm lajj,0,SA,1516867693,90,25.02,37.27,69.05,6.64
330,gladstone,88,AU,1516867406,80,-23.84,151.26,79.09,17.05
331,berlevag,75,NO,1516866600,79,70.86,29.09,21.2,11.41
332,dingle,36,PH,1516867106,71,11.0,122.67,81.92,11.9
333,dawlatabad,12,AF,1516867695,30,36.41,64.91,60.73,6.2
334,ust-ishim,0,RU,1516867696,59,57.69,71.17,-19.38,3.18
335,palmer,0,AU,1516867200,13,-34.85,139.16,91.4,13.87
336,shunyi,0,CN,1516865400,17,40.13,116.65,23.0,8.95
337,yatou,40,CM,1516863600,100,3.63,9.81,77.0,2.24
338,zacapa,92,GT,1516867698,99,14.97,-89.53,62.66,2.51
339,tagusao,48,PH,1516867699,82,9.19,117.81,82.82,8.66
340,santa vitoria do palmar,64,BR,1516867699,87,-33.52,-53.37,65.5,10.0
341,florida,76,CU,1516863420,94,21.53,-78.23,71.6,9.17
342,apatou,88,SR,1516867701,95,5.16,-54.34,74.45,2.73
343,southbridge,1,US,1516866960,72,42.08,-72.03,23.0,4.7
344,namatanai,76,PG,1516867702,100,-3.66,152.44,81.65,13.8
345,santiago del estero,92,AR,1516866932,88,-27.8,-64.26,70.36,7.99
346,coquimbo,90,CL,1516863600,87,-29.95,-71.34,59.0,3.36
347,sur,0,OM,1516867703,93,22.57,59.53,73.37,5.08
348,ancud,0,CL,1516867105,87,-41.87,-73.83,46.82,4.97
349,nieuw amsterdam,40,SR,1516865700,100,5.88,-55.08,71.6,1.12
350,itapirapua,92,BR,1516867704,94,-15.82,-50.61,70.22,7.2
351,goshen,90,US,1516865700,74,41.58,-85.83,30.2,5.82
352,dobroye,48,RU,1516867706,87,52.86,39.81,8.89,3.29
353,wajima,90,JP,1516863600,92,37.4,136.9,23.0,10.29
354,port blair,56,IN,1516867708,100,11.67,92.75,82.28,9.78
355,manta,20,RO,1516867181,97,45.1,24.1,25.0,4.18
356,balabac,48,PH,1516867708,100,7.99,117.06,82.78,11.45
357,san isidro,92,PH,1516867711,98,16.74,121.63,75.49,3.74
358,el alto,88,BO,1516867712,91,-16.5,-68.19,31.07,2.73
359,naze,0,NG,1516867197,23,5.43,7.07,83.68,13.13
360,katsuura,75,JP,1516863600,59,33.93,134.5,35.6,14.99
361,yacopi,20,CO,1516867713,97,5.46,-74.34,61.54,1.95
362,vaitape,44,PF,1516867714,100,-16.52,-151.75,78.64,6.2
363,mint hill,1,US,1516863240,92,38.55,-91.75,32.0,5.82
364,nishiwaki,20,JP,1516865400,55,35.01,135.0,37.4,9.17
365,kruisfontein,32,ZA,1516867716,84,-34.0,24.73,70.36,4.74
366,kajaani,90,FI,1516866600,95,64.22,27.73,33.8,8.05
367,ayorou,0,NE,1516867717,34,14.73,0.92,66.85,10.0
368,kolomak,8,UA,1516867717,86,49.84,35.31,9.16,4.18
369,presque isle,1,US,1516863360,77,46.68,-68.02,8.6,6.93
370,bandarbeyla,0,SO,1516867141,100,9.49,50.81,75.49,14.03
371,fountain,1,US,1516865700,18,38.68,-104.7,46.4,5.82
372,nola,0,CF,1516867719,64,3.52,16.05,83.59,2.17
373,luderitz,0,NA,1516863600,60,-26.65,15.16,71.6,14.99
374,dusti,56,TJ,1516867721,87,37.35,68.68,49.84,4.07
375,matamoros,90,US,1516866780,87,25.87,-97.51,55.4,5.82
376,kyshtovka,0,RU,1516867721,67,56.56,76.62,-22.12,4.63
377,tucuman,64,PE,1516867722,82,-17.17,-70.89,59.51,0.6
378,flinders,64,AU,1516863600,69,-34.58,150.85,80.6,10.29
379,rio grande,0,BR,1516867723,98,-32.03,-52.1,69.41,10.78
380,plettenberg bay,68,ZA,1516867724,99,-34.05,23.37,67.16,4.18
381,hamilton,75,BM,1516865580,88,32.3,-64.78,69.8,16.11
